序号,位置,目标,扭矩,速度,电流,温度,电压
1,1818,1738,631,-62,17,25,121,END
2,1670,1594,603,-59,14,25,121,END
3,1529,1456,583,-56,51,25,120,END
4,1394,1324,559,-54,26,25,121,END
5,1267,1201,523,-51,37,25,121,END
6,1144,1081,503,-49,38,25,120,END
7,1028,968,479,-46,21,25,121,END
8,916,859,451,-44,15,25,121,END
9,812,759,419,-41,12,25,121,END
10,717,666,407,-40,32,25,120,END
11,625,578,375,-37,14,25,121,END
12,539,496,339,-33,11,25,120,END
13,461,420,327,-33,21,25,120,END
14,389,352,287,-29,14,25,120,END
15,322,289,259,-26,10,25,120,END
16,261,231,239,-24,14,25,120,END
17,207,180,211,-22,13,25,120,END
18,159,136,179,-19,5,25,121,END
19,118,98,155,-17,7,25,121,END
20,83,66,135,-13,5,25,121,END
21,54,40,111,-12,4,25,121,END
22,31,20,91,-9,4,25,121,END
23,15,7,63,-7,3,25,121,END
24,5,0,35,-4,1,25,121,END
25,2,3,-13,-1,0,25,121,END
26,7,13,-46,3,-1,25,121,END
27,21,30,-78,6,-3,25,121,END
28,40,52,-102,8,-4,25,121,END
29,66,81,-122,11,-5,25,121,END
30,98,116,-150,13,-10,25,121,END
31,137,159,-178,16,-10,25,121,END
32,182,207,-206,19,-9,25,121,END
33,232,260,-226,19,-13,25,120,END
34,288,320,-266,23,-17,25,119,END
35,352,386,-278,26,-13,25,120,END
36,421,459,-306,28,-15,25,121,END
37,496,538,-342,30,-15,25,121,END
38,578,623,-370,33,-27,25,119,END
39,666,714,-390,36,-29,25,119,END
40,760,812,-422,37,-20,25,121,END
41,861,916,-442,40,-28,25,120,END
42,966,1024,-470,44,-39,25,120,END
43,1078,1140,-506,45,-43,25,120,END
44,1199,1263,-518,49,-13,25,121,END
45,1328,1394,-530,50,-10,25,121,END
46,1456,1527,-574,53,-29,25,121,END
47,1593,1668,-602,54,-43,25,120,END
48,1737,1816,-638,59,-40,25,120,END
49,1887,1969,-658,59,-29,25,121,END
50,2044,2128,-670,62,-25,25,121,END
51,2196,2278,-654,63,-37,25,120,END
52,2349,2426,-614,61,-41,25,121,END
53,2496,2570,-590,57,-38,25,121,END
54,2634,2705,-570,54,-28,25,120,END
55,2763,2831,-542,52,-41,25,121,END
56,2890,2954,-506,50,-36,25,120,END
57,3008,3070,-498,47,-16,25,121,END
58,3122,3180,-466,45,-17,25,121,END
59,3229,3284,-438,44,-17,25,120,END
60,3330,3382,-414,40,-26,25,121,END
61,3425,3473,-382,37,-10,25,121,END
62,3513,3558,-358,34,-15,25,120,END
63,3595,3637,-342,34,-14,25,120,END
64,3670,3708,-306,30,-8,25,121,END
65,3740,3774,-270,29,-9,25,121,END
66,3803,3835,-254,25,-13,25,120,END
67,3861,3889,-226,23,-12,25,120,END
68,3912,3937,-198,20,-12,25,121,END
69,3955,3978,-182,18,-10,25,121,END
70,3994,4013,-146,15,-8,25,121,END
71,4026,4042,-126,13,-5,25,121,END
72,4052,4064,-94,10,-3,25,121,END
73,4071,4081,-82,8,-4,25,121,END
74,4086,4091,-42,6,-2,25,121,END
75,4092,4094,-14,3,0,25,121,END
76,4093,4086,62,0,3,25,121,END
77,4081,4073,67,-5,2,25,121,END
78,4065,4054,91,-7,4,25,121,END
79,4042,4028,115,-10,6,25,121,END
80,4013,3996,135,-12,5,25,121,END
81,3978,3958,159,-14,5,25,121,END
82,3937,3913,195,-17,13,25,121,END
83,3889,3862,219,-19,17,25,119,END
84,3836,3805,251,-22,16,25,120,END
85,3775,3742,263,-24,21,25,120,END
86,3709,3672,299,-28,17,25,120,END
87,3638,3598,327,-29,18,25,120,END
88,3560,3516,355,-32,24,25,119,END
89,3473,3426,379,-34,28,25,120,END
90,3382,3332,403,-37,14,25,121,END
91,3286,3233,427,-39,37,25,120,END
92,3183,3126,455,-41,31,25,120,END
93,3073,3013,483,-44,33,25,121,END
94,2957,2893,511,-48,20,25,121,END
95,2835,2768,535,-49,9,25,121,END
96,2708,2638,559,-52,2,25,121,END
97,2571,2497,595,-54,29,25,121,END
98,2429,2353,615,-58,2,25,121,END
99,2282,2202,639,-59,45,25,120,END
100,2133,2049,671,-62,21,25,121,END
101,1976,1892,667,-63,47,25,121,END
102,1822,1741,643,-61,19,25,122,END
103,1674,1597,615,-59,20,25,121,END
104,1529,1456,579,-56,51,25,120,END
105,1396,1326,555,-55,42,25,120,END
106,1267,1201,527,-51,33,25,120,END
107,1144,1081,503,-50,42,25,120,END
108,1029,968,487,-45,20,25,121,END
109,921,863,459,-44,12,25,121,END
110,816,762,427,-41,8,25,121,END
111,718,668,399,-40,11,25,121,END
112,625,578,371,-35,11,25,121,END
113,540,496,351,-33,14,25,120,END
114,462,422,319,-31,10,25,121,END
115,389,352,291,-29,16,25,120,END
116,322,289,263,-26,11,25,120,END
117,262,232,235,-23,16,25,119,END
118,207,181,199,-22,8,25,121,END
119,160,136,187,-19,11,25,121,END
120,118,98,155,-17,6,25,121,END
121,83,66,131,-14,5,25,121,END
122,54,40,111,-11,4,25,121,END
123,32,21,87,-9,4,25,121,END
124,15,7,59,-7,3,25,121,END
125,5,0,35,-3,1,25,121,END
126,2,3,-13,0,0,25,121,END
127,7,13,-50,2,-2,25,121,END
128,20,30,-82,6,-4,25,121,END
129,40,52,-102,8,-4,25,121,END
130,66,81,-122,11,-5,25,121,END
131,98,116,-146,13,-9,25,121,END
132,135,157,-178,15,-9,25,121,END
133,180,205,-202,19,-9,25,121,END
134,231,258,-214,20,-9,25,120,END
135,288,320,-262,22,-20,25,119,END
136,352,386,-278,25,-13,25,120,END
137,419,457,-306,29,-12,25,120,END
138,494,536,-346,30,-12,25,121,END
139,576,621,-362,33,-20,25,120,END
140,665,713,-394,35,-31,25,120,END
141,758,810,-418,38,-27,25,121,END
142,859,914,-446,39,-20,25,120,END
143,965,1024,-478,43,-47,25,120,END
144,1079,1140,-490,45,-40,25,120,END
